MANUFACTURER,SYNONYMS
PTUBES INC,PTUBE|PTUBES
PULSAR 2000 INC,PUL2|PULSAR2K
PULSE SHOWER SPAS INC,PULSE
PUMPS OF HOUSTON INC,PUMO
PUNTER DISTRIBUTING INC,PUNTER|SAFF1
PURE WATER,PUREWATER
PVI IND LLC,PIPERVLV|PIPV
PYRAMEX,
QM USA CORP,QMDRN|QM DRAIN
QUALITY CULVERT CORP,QUALCULV
QUALITY INDUSTRIAL PROD,QUAI2|QUALIND
QUANTUM DISTRIBUTION INC,QUANTUM|WESW2
QUEST/VAPCO CORP,GARC|VAPCO
QUICKFLASH WEATHERPROOFING PROD,QUICKFLASH WEATHERPROOFING
QUOIZEL INC,QUOZ|QUOIZEL
QUORUM INTL,QUORUM
QWIK PRODUCTS,
R & M WATER GRP,WATT2|RMWATER
R CHRISTENSEN HARDWARE CORP,BERENSON
R P R SPECIALTIES,RPRS|RPRSPEC
R W BECKETT,
R W LYALL & CO INC,LYAR|R W LYALL|RWLYALL|RW LYALL
R&B WHOLESALE DISTRIBUTERS INC,SABG|HOSHIZAK
RACK-STRAP INC,RACKSTRP|RACS
RADIANS INC,RADIANS|RADI2
RADIATOR SPECIALTY CO,RADIATOR|RADISPEC
RAIN BIRD,
RAM TOOL AND SUPPLY CO,BLUT|RAMTOOL
RAPID LOCKING SYSTEM,RAPIDLCK
RAYCHEM HTS,RYCHM|RAYCHEM|RAYC2
RAYKCO,RAYK|RAYKCO
RAYOVAC CORP,SPECTRUM|SPEB2
RAYPAK INC,RAYI|RAYPAK
RAYTEX SUPPLY CO,RAYTEX|RAYS1
RCD CORP,RCDC
RECAPCO INC,RECAPCO|RECA
RECTORSEAL,RECSEAL
RED DEVIL INC,REDD|REDDEVIL
RED HEAD,
RED WHITE VALVE,RWV
RED WHITE,RED WHITE|R&W
REDWHITE,RED_WHTE|REDWHITE
REED MFG CO INC,REED_MFG|REEDMFG
REFCO,REFCO|REFM
REFLECTIX INC,REFLECTX|REFLECTIX|REFL
REFRIGERATION TECH,REFT|REFRIGTE
REGAL BELOIT EPC INC,AOPARTS|REGALBEL
REGENCY WIRE & CABLE INC,REGENCY
REHAU INC,REHAU
RELIANCE DETECTION TECH,RELIDET
RELIANCE WORLDWIDE CORP,SHARKBITE|CASHACME|SHRKBITE
RELINER/DURAN INC,RELD|RELINER
REMCRAFT LIGHTING PROD,REML|REMCRAFT
REMS-WERK,
RESIDENTIAL ESSENTIALS LLC,RESESSNTL|RESE1
RESOURCE CONSERVATION TECH INC,RESC|RESCONS
RGF ENVIRONMENTAL GRP INC,RGFE|RGFENVIR
RHEEM MFG CO,RHEM|RHEEM|RHEEMRES|RHEEM SALES CO INC
RHH FOAM,RHHFOAM
RHINO MARKING PROTECTION SYSTEM,RHINOM
RICHELIEU HARDWARE,RICA5|RICHELIEU|RICHELIE
RIDGE TOOL CO,RIDGTOOL|RIDGID|RIDGIDTOOL
RIDGID TOOL CO,TOOLRENT
RIIFO,RIIFO
RINNAI AMERICA CORP,RNAI|RINNAI|RINNAI AMERICAN CORP
RINO COMPANIES INC/PERFORMANCE,RINOCO|RINC1
RINO FLEX CONNECTORS,
RIOBEL INC,RIOBEL
RITCHIE ENGINEERING CO INC,RITCHIEENGINEERING|RITCHIE
RITESCREEN,RITESCRE
RITMO AMERICA LLC,RITMO|RITA
RJS TECH LLC,RJST|RJSTECH
RK INTL INC,RKINTER|RK_INTER
RMS OF GEORGIA,CHOICE_R|CHOICER
RMV - RED-WHITE VALVE CORP,
ROBERN,
ROBERT BOSCH TOOL CORP,BOSR|ROBBOSCH
ROBERTSHAW CONTROLS CO,ROBC
ROBO-FIT INC,ROBOFIT
ROHL LLC,
ROMAC IND INC,ROMAC
RON HENSON MANUF REP INC,RHENSON|HENR
RONBOW CORP,RONBOW CORP|RONBOW
ROSCO INDUSTRIAL SUPPLY INC,ROSCO
ROSEN MATERIALS,ROSEN|ROSEN METERIALS
ROTHENBERGER USA LLC,ROTHENBE|ROTU
ROUGHNECK SUPPLY LLC,ROUGHNEC|ROUGHNK
ROYAL BATHS MFG LTD,ROYD|ROYALBTH
ROYAL METAL PROD,ALCO|ROYMET
RRR INDUSTRIAL SALES LP,
RUBBERMAID COMM PROD,RBRMD|GOTT
RUST-OLEUM,RUSO|LANCASTE|RUSTOLEUM CORP
RUSTICWARE LLC,RUSTWARE|RUSTICWR
RUSTOLEUM CORP,
RWV - RED-WHITE VALVE CORP,RWV REDWHITE VALVE CORP
S & S MFG CO,SSMC|SSMFG
S&P VENTILATION SYSTEMS,
SABER GRILLS LLC,NEWPROD
SAF-T-GLOVE,SAFTGLOV|SAFT
SAFE T COVER,SAFE-T-COVER|SAFE-T COVER
SAFE-FLOW,
SAKRETE,
SANDERSON PIPE CORP,TEX1|SANDERSN
SANI SEAL GASKET LLC,SANISEAL|SANS16
SANTEC INC,SANTEC
SARCO OF TEXAS,SART
SAS SAFETY CORP,SASSAFTY|SAS_SAFE
SATCO PROD OF TEXAS INC,SATCO|SATCO PROD OF TEXAS INC
SAUERMANN NA CORP,SAUERMAN|SAUE
SCHAUB & CO,SCHC3|SCHAUB
SCHIER PROD CO,SCHR|SCHIER|SCHP
SCHLUTER/KERDIDRAIN,SCHLTR/KRDRN|SCHLUTER|KERDIDRAIN
SCHNEIDER ELECTRIC,
SCHWANK USA INC,SCHWANK|INFR
SCHWINN HARDWARE INC,SCHWINN
SCOTSMAN,SCOT
SDR PIPE,SDRPIPE
SEA GULL,SEAGULL
SEAL FAST INC,SEAF|SEALFAST
SEALED UNIT PARTS CO INC,SUPCO
SEEKONK MFG CO INC,SEEP|SEEKONK
SELKIRK CORP INC,SMALL GAS VENT|SELKVENT
SENSIBLE PROD,SENP|SENSIBLE PROD|SENSPROD
SEPTIC PROD INC,SEPTICPR|SEPP
SERAMPORE IND,SERI|SERAMPOR
SERVICE GAS SUPPLY INC,SERVGAS|SERG
SERVICE TOOL CO LLC,SERT|SERVTOOL
SEYMOUR MFG CO INC,SEYMOURM|SEYM
SEYMOUR OF SYCAMORE INC,SEYOFSYC|SEYS
SFA SANIFLO INC,SANF|SANIFLO
SHARP,
SHOOK MFG PROD,SHOOKMFG|SHOM1|SHOOK MANUFACTURED PROD
SHUBEE INC,SHUB|SHUBEE
SHURJOINT PIPING PROD,SHUJOI
SHURTAPE TECH LLC,SHUM|SHURTAPE|SHURTAPE TECH INC
SIEMANS,
SIERRA WEST DISTRIBUTING,SIERRWST
SIGMA CORP,
SIGN OF THE CRAB LLC,SIGNCRAB|SIGN OF CRAB
SIL FOS,
SILVER-LINE PLASTICS CORP,SLVRLINE|SILVERLINE PLASTICS CORP
SILVERWIND PROD,SILVERWND
SIMPSON STRONG TIE INC,SIMS|STRONGTI|SIMPSON STRONGTIE CO INC|SIMPSON
SIMS PLASTICS OF WACO,SIMR|SIMSPLST|SIMS PLASTIC|SIMS PLASTICS
SIOUX CHIEF,SIOUXCHER|SIOUX|SIOUX_CH|SIOUXCHEF|SIUX CHF|SIOUXCHIEF|SIOUXCH
SIP IND - SERAMPORE IND,SIPI|SIP|SIP IND SERAMPORE IND
SISNEROS BROS MFG,SISB|SISNEROS
SJE RHOMBUS CONTROLS,RHOMBUS
SLANT/FIN CORP,SLANTFIN
SLIDE-EZZZ,SLIDEZZZ
SLOAN VALVE CO,SLN|SLOAN|SLOV|SLOANVALVE
SMARDAN,SMARDAN HATCHER
SMEG,
SMITH-BLAIR INC,SMITHBLAIR
SMITTY PAN MFG,SMIP|SMITTY PAN|SMITPAN
SNAPPY,
SNOOK & ADERTON INC,SNOKADER|SNOA
SNYDER IND INC,SNYI|SNYDER
SOG SPECIALTY KNIVES & TOOLS,SOGS|SOGTOOL
SOLBERG MFG INC,SOLBERG
SOLER & PALAU USA INC,SOLPALAU|SOLP1|SOLER PALAU USA INC
SONNEMAN A WAY OF LIGHT,SONA3|SONNEMAN
SOPHSTONE PREFAB,SOPHSTONE
SOUDAL ACCUMETRIC,
SOUTH COAST PROD INC,SOUC3|SCOASTPR
SOUTH HOUSTON CONCRETE PIPE CO,SHCPIPE|SOUH
SOUTHEASTERN HOSE INC,FLEXCONN
SOUTHERN FASTENING SYSTEMS INC,S FASTENING|SOUTHFAS|TEXA8
SOUTHERN LOCK,SOUTHLK|MAGNALAT
SOUTHERN METER BOX INC,SOUM|SOUM1
SOUTHWARK METAL MFG CO,SWARKMTL|SOUTHWAR|SOUWARK
SOUTHWEST NIPPLE CO INC,SOUN1
SOUTHWEST SALES LP,SOUS6|SWSALES
SOUTHWESTERN HVAC SALES LLC,SOUH11|FRESHAIRE|SWHVAC
SOUTHWIRE CO,SOUTHWIRE|SOUTHWIRE / SENATOR|SOUTHWIR
SPEAKMAN CO,SPKMN|SPEAKMAN|SPEAKMN
SPEARS MFG CO,SPEARS
SPECIALTY PROD CO,SPEP2|SPECPROD
SPECTRONICS CORP,SPECTRON|SPEC5
SPIRAL FITTINGS INC,SPIRALFT|SPIRAL FITTINGS
SPX CORP,SPXCORP|SPX|ROBI1
STAN ROBERTS & ASSOC INC,STANROBT|STAN ROBERTS ASSOC INC
STANCOR INC,STANCOR|STNCR
STANDEX ADP,STANDEX
STANLEY BLACK & DECKER,
STANLEY FASTENING SYSTEMS LP,STANLEYF|STAG
STAR PIPE PROD,STARJRPD
STAR WIPERS,CARTEX|WIPERAGS
STATE IND INC,
STATE LINE PROD OF TEXAS,STAL2|STATELIN
STATE WATER HEATERS,ST WTR HTR
STEEL & PIPE CORP,STEELPIP
STEPHEN & STEPHENSON CO INC,STEE|STEPHEN
STERLING CUSTOM SHEET METAL,STEC9|STERMTL
STERLING HEATERS,STERLHTR|STER1
STERLING WATER TREATMENT,STERLING WTR|STRWTR
STERLING,STRLNG|STERLING PLUMBING GRP INC
STERIS,STERIS AMSCO
STERN WILLIAMS,STERNWILL|STRN WLMS|STERN WILL|STERNW
STEVE MECHLER & ASSOC INC,MECA|MECHLER|STEVE MECHLER ASSOC INC
STIEBEL ELTRON INC,STBL ELTRN|STIE|STIEBEL
STONE FOREST INC,STONE FOREST|STONFRST
STONE QUALITY TOOLS,STOQ|STONETL
STORM MFG GRP INC,BUCB1|STORMMFG
STRASSER WOODENWORKS INC,STRWOOD
STREAMLIGHT INC,STREAMLT|STRMLGHT
STREAMLINE,
STRIEM LLC,STRIEM
STUDOR,
STUFF SORTER BY VERSAPAK INC,VERP|VERSAPAK
STYLECREST INC,STYLCRST|STYLCRES
SUBZERO WOLF,SUB-ZERO|WOLF|SUB ZERO
SUMMIT APPLIANCE,UNIVMETAL|SUMMIT
SUMMIT RIDGE TOOL CO INC,SUMRIDGE
SUMNER MFG CO INC,SUMM1|SUMNER
SUNBELT MARKETING INC,SUNBELT
SUNBELTS CONVEYERED AGGREGATE,
SUNCOAST POST TENSION LTD,SWEST|REBAR|SUNCOAST POSTTENSION LTD
SUNCRAFT IND INC,
SUNPACK OF PENSACOLA,SUNPACK
SUNSET LADDER CO,
SUNSET LIGHTING & FANS,
SUPCO,
SUPERIOR PLUS CONSTR PROD CORP,SPEP|SUPPLUS
SUPERIOR SIGNAL CO LLC,SUPS|SUPSGL
SURE SEAL,SURESEAL|SRE SEAL
SURFACE PROTECTION INTL,SURFACE PROTECTION|SPRI
SUSSMAN AUTOMATIC CORP,MRSTEAM|SUSSMAN
SUSTAINABLE COILS LLC,SUSTCOIL|SUSC1
SUSTAINABLE SOLUTIONS INTL,SUSTINT
SWAN PRODUCTS,
SWS DISTRIBUTION SERVICES LLC,SWSDIST|SWSD
SYMMONS IND INC,SYMNS|SYMMONS|SYMONS
SYSTEM SENSOR,SYSS|SYSTMSENSOR
SYSTEMS IV,SYSTMIV
SAMSUNG,
T & S BRASS & BRONZE WORKS INC,T & S BRASS|TSBRASS|T&SBRASS|T & BRS|TS BRS|TSBRS|T&S_BRAS|TS BRASS|T&S BRASS & BRONZE WORKS|T S BRASS|T&S|TSBRSS
T & T TOOLS INC,TTTOOLS|TTTO
T CHRISTY ENT INC,TCHRISTY
TA CHEN INTL CORP,TACH
TACO COMFORT SOLUTIONS,TACO_PMP|TACOPMPS|TACO
TAKAGI INDUSTRIAL CO USA INC,TAKI|TAKAGI
TAM MARKETING PARTNERS LTD,TAMM|TAMMKTG
TAPCO,TAPS
TAYMOR IND INC,TAYMOR|TAYM
TBS MFG,TBS|EXCA
TECH LIGHTING LLC,TECHLGHT|TECL
TEJAS PLASTICS INC,TEJASPL|TEJP
TEST PRODUCTS INTERNATIONAL,
TEST RITE INTL CO LTD,BG_SLPT
TEST-TITE,
TESTRITE (TOOLS),BG_TEST
TETERS,TETERS FAUCET
TEX-FLEX,
TEXAS FAIRFAX COMPANY,
TEXAS PIPE & SUPPLY CO LTD,TEX_PIPE
TEXAS RAGTIME INC,TXRAGTIM|TEXR1
TEXAS RUBBER SUPPLY INC,TEXR|TXRUBB
TEXTILE SALES CO,TEXTILE|TEX5
THARCO CONTAINERS TEXAS,THARCO|CAPC2
THE BIG GREEN EGG INC,BIG GREEN EGG
THE CHICAGO FAUCET CO,CHICAGOFAUCETS|CHICAGO FAUCETS|CHICAG|CHICAGO|CHCGO FCT
THE CROSBY GRP LLC,CROG|CROSBY
THE FAUCET DOCTOR,FCT_DR|FAUCDR
THE FORD METER BOX CO,FORDMTR|FORD_MET
THE GALANOS CO INC,GALANOS|GALC
THE GORILLA GLUE CO,GORILLA
THE HARRINGTON CORP,HARUTIL|HARC
THE HARRIS PROD GRP,
THE KUPFERLE FOUNDRY CO,KUPF|KUPFERLE
THE L S STARRETT CO,STARRETT|LSST
THE LAWLESS GRP,LAWG|LAWLESSG
THE MERIT DISTRIBUTION GRP,INLS
THE MILL-ROSE CO,MILLROSE|MILL-ROSE|MILL ROSE|MILLROS
THE QUIKRETE COMPANIES INC,HOMD|HDSUPPLY
THE RAWLPLUG CO INC,RAWLPLUG|RAWC
THE SOCHA CO INC,SOCC|SOCHACO
THE TURNER CO LLP,TURC|TURNER
THE UTTERMOST CO,UTTERMOST|UTTMOST|UTTERMOS
THE WESTBRASS CO,
THE WICHITA PUMP & SUPPLY CO,WICP2|WICHPUMP
THE WILLIAM POWELL CO,POWELL
THERMA-STOR LLC,THRMSTOR|SANTE-FE|SANTEFE
THOMAS & BETTS CORP,THOB|THOMBETT
THOMPSON TRADERS INC,THOT3|THOMTRAD
THRIFT MARKETING,
THUNDERBIRD PROD INC,THNDRBRD|T-BIRD
TIFCO IND INC,TIFCO
TILE REDI USA LLC,TILE REDI|TILEREDI|TILR
TITAN FLOW CONTROL INC,TITANFLW
TITAN PRO,
TJERNLUND PROD INC,TJERNLUN|TJEP
TMG NITROGEN TANKS,TMG
TOMAHAWK,
TOMARCO CONTRACTOR SPECIALTIES INC,ISAT
TOMLINSON IND,TOMI1|TOMLINSO
TOOLCEPTIONS INC,TLCP|TOOLCEPTIONS
TOP KNOBS,
TOPAZ LIGHTING,
TOPP IND INC,TOPI|TOPPIND
TOTAL PIPING SOLUTIONS INC,TOTALPIP|TOTP
TOTO USA INC,TOTO|TOTO_USA
TPI,TEST PROD INT'L
TRADE-WIND,
TRAK IND,TRAKIND
TRI-STATE FASTENERS/SUPPLY CRP,TRIF|TRISTATE
TRIANGLE TUBE/PHASE III CO INC,TRIT2|TRIANGLE TUBE|TRIANGLE
TRIATOMIC ENVIRONMENTAL INC,
TRIM BY DESIGN,
TRIM TO THE TRADE,TRIMTRAD|TRIM TO TRADE
TRIMETALS,TRIMETALS
TRINITY FITTING & FLANGE GRP,TRIF1|TRINFTG
TRINITY SAFETY SUPPLY INC,TRIS1|TRINSAFE
TRINITY TAPE & MARKING LLC,TRINITY|TRINITY TAPE MARKING LLC
TRIPAC MARKETING INC,TRIPAC
TROJAN,TROJAN
TROY-CSL LIGHTING INC,TROY|TROYCSL|TROY_CSL
TRUE FORM,TRUEFORM|TRE FRM
TRUE RESIDENTIAL LLC,TRUE|TRUE RES|TRUR1
TRULITE GLASS ALUMINUM SOLUTIONS,TRULITE
TRUMBULL IND INC,TRUMBULL|TRUI
TRUEBRO,
TRUPER,
TRUTANKLESS,TRUTANKLESS|TRUTNK
TUBE FORGINGS OF AMERICA,TUBEFORG
TUF-TITE INC,TUFT|TUFTITE
TURBO AIR INC,TBAIR|TURBO AIR
TWIN CITY HOSE,
TYCO VALVES & CONTROLS LP,TYCOVLV|TYCV
TYLER PIPE,
TYLER UNION,TYLUDOM
TYLER WELDERS SUPPLY INC,TYLERWLD|TYLW1
TYTAN INTL LLC,TYTANINT|TYTAN|TYTI
THERMADOR,
U S PIPE & FOUNDRY CO LLC,UNSP|USPIPE
U S SAWS INC,USSAWS|USSA1
U S WIRE & CABLE CORP,USWIRE|USWI
UEI,UEI|UNIH
ULMER TOOL CO,ULMER|ULMT
ULTRA FAUCETS,
ULTRAVATION INC,UVAI|ULTVATN
UNION BRASS MFG CO INC,UNIONBRS
UNITARY PROD GRP,UNITPROD|UNITARYPROD|UNIP5
UNITED ELCHEM,
UNITED PIPE & STEEL CORP,UNIP11|UNTDPIPE|UNITED PIPE STEEL CORP
UNITED SALT CORP,UNSA1|UNTDSALT
UNIVERSAL SECURITY INSTRUMENTS INC,USII|USI
UNIWELD PROD INC,UNIWELD
UPONOR INC,UPONOR|UPONORWIRSBO
US MOTORS,
US PIPE FABRICATION,FASF1
USASIA LLC,USASIA
UTILITIES SUPPLY,UTILSPLY
VAL-FIT INC,DOMWELDF
VALCO GROUP,
VALLEN DISTRIBUTING,VALLEN DISTRIBUTION
VALUE ENGINEERED PROD,VEP
VAPCO PROD INC,VAPCOPRD
VELOCITY BOILER WORKS,VELOCITY
VENT-A-HOOD,
VENTAMATIC LTD,VENTAMATIC|VENTAMAT|VENT2
VENTI AIR PROD,VENTI|PHOENIX
VERTEX WATER,VERTEX|VPS|VERW|VERTEX PACKAGING SUPPLIES
VETO PRO PAC LLC,VETOPRO|VETP
VICTAULIC TOOL CO,VICTAULI|VICTAULIC
VICTOR TECH INTL INC,VICTOR|TURBOTORCH|VICTTECH
VICTORIA & ALBERT BATH LLC,VICTORIA & ALBERT|VICTALBT|VICTORIA
VIEGA LLC,PUREFLOW|VIEGA|VIEGPEX|PROPRESS|PRO PRESS|VIEGA PRESS
VIKING RANGE LLC,VIKING
VIKING SUPPLY NET,VIKING SUPPLYNET
VINYLTECH CORP,VINYLTCH
VIRGINIA MARBLE MANUFACTURERS INC,VIRMARB
VOLTEC IND,VOLTEC
VORTENS,
VOSSLER & CO,VOSSLER|VOSSLER1
VU-FLOW,
WAC LIGHTING CO,MODERN FORMS|MDRNFRM|WAC_LGHT
WADE DRAINS,WDE|WADE
WAGGONERS MECHANICAL SERVICE LLC,WAGMECH
WAL-RICH CORP,WALRICH|WALR
WALRAVEN INC,WALRAVEN
WALSH & ALBERT CO LET,WALA4|WALSH|WALSH ALBERT CO|WALSH&ALB
WANRONG TOOL,BG_WNRG
WARD MFG INC,WARDMFG|WARD_MFG
WARREN TECHNOLOGY,WARNTECH|WART
WASHBROOK,
WATCO MFG CO,WATCO
WATER FACTORY SYSTEMS,WTRFACT|WATF1
WATER HEATER SMART INC,WHSMART
WATER INC,WATERINC
WATER STREET BRASS,WATERSTR|WATERSTREET|WATERST
WATER TEC OF TUCSON,WATERTEC
WATERLOO,WATERL00|WATER-LOO|WTRLOO|WATERLO|WATER00
WATERMARK DESIGNS LTD,WTRMARK|WATERMRK|WATERMARK
WATERMASTER IRRIGATION SUPPLY,WTRMSTIR|WATI
WATERSTONE ANNAPOLIS,
WATERSTONE LLC,WATERSTONE|WTRSTONE|WATERSTO
WATERTEC WHIRLPOOL BATH,
WATTS DRAINAGE USA,WTS|WATTSDRN|WATTS
WAXAHACHIE BUILDING SUPPLY,WAXB
WD-40 CO,WD-40|WD40C
WEATHERIZATION PARTNERS LTD,WEATH
WEBSTONE CO INC,WEBSTONE
WEIL-MCLAIN,WEIL
WEISS INSTRUMENTS INC,
WEKSLER GLASS THERMOMETER CORP,WEKSLER|NEAA|NEALASSO
WELDFIT,
WELD FLANGE,WELDFLAN
WELD-ON,
WELDBEND CORP,SERMET
WESSELS,WSL
WESTERMANN BOLT AND GASKET CO,WESTBOLT|WESTERMA
WESTERN AG SALES CO INC,WESTAG|WESA
WESTERN BOLT AND GASKET CO,
WESTERN ENTERPRISES,
WESTERN MARKETING INC,WESTMKTG|WESM5
WESTERN POTTERY,WSTRN PTRY|WESTERN|WSTPOTY
WESTWAY SALES INC,WESS|WESTWAY
WFI INTL INC,WFII|WFIINTL
WHEATLAND TUBE CO,DMSTLP80|WHET
WHEELER/DIV REX INT'L USA INC,WHEELER|WHEELREX
WHIRLPOOL CORP,WHIRPOOL|WHIRLPOOL|WHRLPOOL|WHIRPL|WHRLPL
WHITE HALL,DON'T PUT WHITE AS A SYNONYM HERE|WHITEHALLMFG|WHT HL|WHITEHALL
WHITE METAL PROD INC,WHTMETAL|WHIM1
WHITE ROGERS,WHTROGER
WHITEHAUS COLLECTION,WHHAUS|WHIC4
WHOLESALE INSULATION SUPPLY COMPANY,
WIDOS LLC,WIDO|WID
WILDE TOOL CO INC,WILDE|WITC
WILKINS,WLKNS
WILLIAMS FURNACE CO,WILF|WLMSFURN
WILLIAMS PRODUCTS,
WILLOUGHBY,WLGHBY
WILO USA,WILO
WILSON,WILS2|DMSTLPFB
WINGIT INNOVATIONS LLC,WINI|WINGIT
WINGMASTER PLUS,
WINTON FLOOR TILE SWIFF TRAIN,WINTON
WISEMAN INDUSTRIES,
WOLF PEAK INTL INC,EDGEEYEWEAR|WOLFPEAK
WOLVERINE JOINING TECH,WOLVER|WOLJ1
WOODFORD MFG CO INC,WOODFORD|WOODFORD MFG|WDFRD|WOODFORDMFG|WOODFRD|WFORD
WOODY BUTTS INC,BUTW|WOODYBTS
WORLD AND MAIN LLC,WRLDMAIN|WORLD MAIN
WORTHINGTON CYLINDERS,WORTHTOR|WORTHCYL
WYNDHAM COLLECTION LLC,WYNDHAM|WYND
XANTUS PROD,XANTUS|XANT
XCI CONTROLS LP,XCI|XCIC
YELLOW JACKET,
YETI COOLERS,YETI
YORK,
YUYAO DARDON GARDEN TOOLS FACTORY,BG_DARD
Z-FLEX U S INC,ZFLE|ZFLEX
ZAC TOOLS,ZAC_TOOL|ZAC
ZEBRA INSTRUMENTS,ZEBI|ZEBRA
ZENNER PERFORMANCE METERS INC,ZENNER|ZENP
ZILMET USA LLC,GL_ZILU
ZIP WATER,ZIP
ZOELLER PUMP CO,ZOELLER|ZOELR
ZONEFIRST,ZONEFIRST|ZONA|ZONEFRST
ZONEX SYSTEMS,ZONS|ZONEXSYS
ZURN IND,ZURN_IND|ZURN INC|ZRN|ZURNSD|ZURN|ZURN IND LLC|ZURN IND INC|ZURN WILKINS
